,_id,product_name,product_searched,price,offer_details,discount_percent,EMI,rating,comment,customer_name,review_age
0,6130f0c890a7fe63d709f340,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Just wow!,Hrishikesh t.s,11 months ago
1,6130f0c890a7fe63d709f342,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,4,Worth the money,seden bhutia seden bhutia,5 months ago
2,6130f0c890a7fe63d709f344,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Perfect product!,Flipkart Customer,7 months ago
3,6130f0c890a7fe63d709f346,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Brilliant,Banoth Santhosh naik,9 months ago
4,6130f0c990a7fe63d709f348,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Excellent,Bikram Dalai,7 months ago
5,6130f0c990a7fe63d709f34a,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Must buy!,Flipkart Customer,6 months ago
6,6130f0c990a7fe63d709f34c,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Super!,Rumela Barua,3 months ago
7,6130f0c990a7fe63d709f34e,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,3,Nice,Rohan Jha,8 months ago
8,6130f0c990a7fe63d709f350,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,4,Good quality product,Plakhyadweep Garg,7 months ago
9,6130f0c990a7fe63d709f352,"REDMI 9i (Midnight Black, 64 GB)  (4 GB RAM)",redmi,"₹8,799","['Bank Offer20% off on 1st txn with Amex Network Cards issued by ICICI Bank,IndusInd Bank,SBI Cards and MobikwikT&C', 'Bank Offer10% Off on Bank of Baroda Mastercard debit card first time transaction, Terms and Condition applyT&C', 'Special PriceExtra ₹1200 off(price inclusive of discount)T&C', 'View 6 more offers']",12% off,NO EMI Plans,5,Terrific,Vijendra Yadav,5 months ago
